GIACR,German Orthography 1,German Orthography 2,Formats,Notes,Source
Klingelhoefer,Klingelhöfer,,1,,
Klos,Klos,,1,,
Kluge,Kluge,,1,,
Klute,Klute,,1,,
Knapp,Knapp,,1,,
Knecht,Knecht,,1,,
Knemeier,Knemeier,,1,,
Kniess,Knieß,,1,,
Knollmann,Knollmann,,1,,
Kobusch,Kobusch,,1,,
Koch,Koch,,1,,
Koch,Koch,,1,,
Koecher,Köcher,,1,,
Koehler,Köhler,,1,,
Koelling,Kölling,,1,,
Koenemann,Könemann,,1,,
Koenig,König,,1,,
Koeppen,Köppen,,1,,
Koerzdoerfer,Körzdörfer,,1,,
Koester,Köster,,1,,
Koetz,Kötz,,1,,
Kohlmeier,Kohlmeier,,1,,
Kohlz,Kohlz,,1,,
Kohnle,Kohnle,,1,,
Kohring,Kohring,,1,,
Kohtz,Kohtz,,1,,
Kolass,Kolaß,,1,,
Konitz,Konitz,,1,,
Korden,Korden,,1,,
Korfhage,Korfhage,,1,,
Kortmeyer,Kortmeyer,,1,,
Kostete,Kostete,,1,,
Kostfeld,Kostfeld,,1,,
Kraatz,Kraatz,,1,,
Kracht,Kracht,,1,,
Kraemer,Krämer,,1,,
Krallmann,Krallmann,,1,,
Krannemann,Krannemann,,1,,
Krause,Krause,,1,,
Krekel,Krekel,,1,,
Krenning,Krenning,,1,,
Kreye,Kreye,,1,,
Krietemeier,Krietemeier,,1,,
Krohne,Krohne,,1,,
Kruempfer,Krümpfer,,1,,
Krummholz,Krummholz,,1,,
Krumwiede,Krumwiede,,1,,
Kruse,Kruse,,1,,
Kuech,Küch,,1,,
Kueck,Kück,,1,,
Kuethe,Küthe,,1,,
Kugelan,Kugelan,,1,,
Kuhlenbeck,Kuhlenbeck,,1,,
Kuhn,Kuhn,,1,,
Kummer,Kummer,,1,,
Kumpf,Kumpf,,1,,
Kunz,Kunz,,1,,
Kuper,Kuper,,1,,
Kurz,Kurz,,1,,
Lache,Lache,,1,,
Laetsch,Lätsch,,1,,
Lager,Lager,,1,,
Lambersiek,Lambersiek,,1,,
Lammert,Lammert,,1,,
Lamperich,Lamperich,,1,,
Landwehr,Landwehr,,1,,
Lang,Lang,,1,,
Lang,Lang,,1,,
Langbein,Langbein,,1,,
Lange,Lange,,1,,
Langenbach,Langenbach,,1,,
Langewisch,Langewisch,,1,,
Lauenstein,Lauenstein,,1,,
Lause,Lause,,1,,
Lechtermann,Lechtermann,,1,,
Lehmann,Lehmann,,1,,
Lehne,Lehne,,1,,
Leimkuehler,Leimkühler,,1,,
Leker,Leker,,1,,
Lemp,Lemp,,1,,
Leonhardt,Leonhardt,,1,,
Lewedag,Lewedag,,1,,
Lewilsmuller,Lewilsmuller,,1,,
Lieberum,Lieberum,,1,,
Liese,Liese,,1,,
Lindemann,Lindemann,,1,,
Lindenberg,Lindenberg,,1,,
Lindhorst,Lindhorst,,1,,
Lippings,Lippings,,1,,
Lochmueller,Lochmüller,,1,,
Lochner,Lochner,,1,,
Logemann,Logemann,,1,,
Loxen,Loxen,,1,,
Luebben,Lübben,,1,,
Luedecke,Lüdecke,,1,,
Luedecke,Lüdecke,,1,,
Luedemann,Lüdemann,,1,,
Lund,Lund,,1,,
Lussen,Lussen,,1,,
Lutmer,Lutmer,,1,,
Maeier,Mäier,,1,,
Maertin,Märtin,,1,,
Maeyer,Mäyer,,1,,
Maibaum,Maibaum,,1,,
Maier,Maier,,1,,
Maler,Maler,,1,,
Mannenalker,Mannenalker,,1,,
Mardorf,Mardorf,,1,,
Margenau,Margenau,,1,,
Martin,Martin,,1,,
Marting,Marting,,1,,
Matten,Matten,,1,,
Matthes,Matthes,,1,,
Matz,Matz,,1,,
Mauersberger,Mauersberger,,1,,
Maurer,Maurer,,1,,
Mayer,Mayer,,1,,
Mehrlein,Mehrlein,,1,,
Meier,Meier,,1,,
Meiersieck,Meiersieck,,1,,
Meissenbach,Meißenbach,,1,,
Meister,Meister,,1,,
Mende,Mende,,1,,
Mendel,Mendel,,1,,
Mennicke,Mennicke,,1,,
Merske,Merske,,1,,
Mesters,Mesters,,1,,
Metz,Metz,,1,,
Metzger,Metzger,,1,,
Metzler,Metzler,,1,,
Meusel,Meusel,,1,,
Meyer,Meyer,,1,,
Michel,Michel,,1,,
Mielert,Mielert,,1,,
Miesler,Miesler,,1,,
Miller,Miller,,1,,
Moelk,Mölk,,1,,
Moeller,Möller,,1,,
Moellering,Möllering,,1,,
Moenkemueller,Mönkemüller,,1,,
Moeser,Möser,,1,,
Morgenthaler,Morgenthaler,,1,,
Morlein,Morlein,,1,,
Moskopf,Moskopf,,1,,
Muegge,Mügge,,1,,
Mueller,Müller,,1,,
Mund,Mund,,1,,
Mussmann,Mußmann,,1,,
Mustermann,Mustermann,,1,,
Nabe,Nabe,,1,,
Nagel,Nagel,,1,,
Nanz,Nanz,,1,,
Neidringhaus,Neidringhaus,,1,,
Nelgner,Nelgner,,1,,
Nemnich,Nemnich,,1,,
Nethmann,Nethmann,,1,,
Neubert,Neubert,,1,,
Neun,Neun,,1,,
Neupert,Neupert,,1,,
Niebruegge,Niebrügge,,1,,
Niehaus,Niehaus,,1,,
Niemann,Niemann,,1,,
Niemeier,Niemeier,,1,,
Niermann,Niermann,,1,,
Nink,Nink,,1,,
Nitzschmann,Nitzschmann,,1,,
Noeller,Nöller,,1,,
Nolte,Nolte,,1,,
Nolte,Nolte,,1,,
Nolte,Nolte,,1,,
Norden,Norden,,1,,
Nuemann,Nümann,,1,,
Nuetzel,Nützel,,1,,
Oberdick,Oberdick,,1,,
Obermeier,Obermeier,,1,,
Ochs,Ochs,,1,,
Ochsmann,Ochsmann,,1,,
Odendahl,Odendahl,,1,,
Oehlmann,Öhlmann,,1,,
Oellermann,Öllermann,,1,,
Oelze,Ölze,,1,,
Oertel,Örtel,,1,,
Oerter,Örter,,1,,
Offenbeck,Offenbeck,,1,,
Offergeld,Offergeld,,1,,
Ohsieck,Ohsieck,,1,,
Olligs,Olligs,,1,,
Opel,Opel,,1,,
Ort,Ort,,1,,
Ortkoetter,Ortkötter,,1,,
Ortmeier,Ortmeier,,1,,
Ossel,Ossel,,1,,
