"Edenkopf [?], Hessen"
"Ederbringhausen, Hessen-Nassau"
Edingen [?]
"Edingen [?], Preußen"
"edsen, Brandenburg"
"Egelsbach, Groß-Gerau, Darmstadt, Hessen"
"Eggeberg, Westfalen"
"Ehelburg [?], Germany"
"Ehrenburg, Hannover"
"Eichel, Baden"
"Eichelbach [?], Bochnoch [?], Württemberg"
"Eichfeld, Mittelfranken, Bayern"
"Eickhorst, Preußen"
"Eickum, Westfalen"
"Eidinghausen, Westfalen"
"Eigeltingen, Baden"
"Einbeck, Hannover"
"Eisfeld, Germany"
"Eisinghausen, Hannover [?]"
"Eisleben, Sachsen (province)"
"Elber*[?], Germany"
"Elberfeld, Rheinprovinz"
"elburg, Preußen"
"Eldachsen [?], Preußen"
"Eldagsen, Hannover"
"Eldagsen, Minden, Westfalen"
"Eldinghausen [?], Waldeck [?]"
"Elfingen, Aargau, Switzerland"
"Ellenhausen, Hessen-Nassau"
"Ellenhausen, Marburg, Hessen-Nassau"
"Ellenroth [?], Hannover"
"Ellensen, Hannover"
"Elleringhausen [?], Waldeck"
"Elleringhausen, Waldeck"
"Ellhorn, Schleswig-Holstein [?]"
"Ellnrode, Fritzlar, Hessen-Nassau"
"Ellwangen, Württemberg"
"Elmendorf, Oldenburg"
"Elmenscharsen [?], Hessen"
"Elmshausen, Hessen"
Elsaß-Lothringen
"Elsenfeld, Bayern"
"Elsten [?], Oldenburg"
Eltem [?]
"Eltershofen, Hall, Württemberg"
"Elverdissen, Westfalen"
"Emmendingen [?], Baden"
"Emmendingen, Baden"
"Emmersheim [?], Bayern"
"Endighofen [?], Hessen-Nassau"
"Endingen, Baden"
"Endlichhofen, Hessen-Nassau"
"Enenselben, Germany"
"Engbach [?], Pfalz, Bayern"
"Enge [?], Glarus, Switzerland"
"Enger, Westfalen"
"engerich, Tecklenburg, Westfalen"
"Engi, Glarus, Switzerland"
"Engter, Hannover"
"Engter, Osnabrück, Hannover"
"Ennigloh, Westfalen"
"Enze*[?], Germany"
"Epe, Hannover"
"Eppenbrunn, Bayern"
"Eppendorf, Hannover"
"Eppenhain, Hessen-Nassau"
"Eppenheim [?], Baden"
"Eppwil [?], Hessen-Nassau"
"Erbach, Hessen"
"Erbsen, Hannover"
"Erderlinghausen [?], Hessen-Nassau"
"Erdmannhausen, Württemberg"
"Erdmannrode, Hessen-Nassau"
"Erfurt, Sachsen (province)"
Erkshausen [?]
"Erkshausen, Hessen-Nassau"
"Erlangen, Bayern"
"Erlenbach, Pfalz, Bayern"
"Erligheim, Besigheim, Württemberg"
"Erlinsbach [?], Aargau, Switzerland"
"Erlinsbach [?], Argau, Switzerland"
"Ermersbach [?], Bayern"
"Ernsthausen, Hessen-Nassau"
"Erpolzheim, Bayern"
"Erschwil [?], Aargau, Switzerland"
"Erstein, Elsaß-Lothringen"
"Eschau, Nürnberg, Bayern"
"Eschenbach, Göppingen, Württemberg"
"Eschenstruth, Cassel, Hessen-Nassau"
"Eschwege, Hessen-Nassau"
"Eschweiler [?], Hessen-Nassau"
"Eschwil [?], Hessen-Nassau"
"Eseno, Ostfriesland, Germany"
"Esens, Ostfriesland, Hannover"
"Esenshamm, Oldenburg [?]"
"Esigen, Aargau, Switzerland"
"Esperke, Hannover"
"Essen [?], Osnabrück, Hannover"
"Essen, Hannover"
"Essfeld, Bayern"
"Essingen, Bayern"
"Esslingen [?], Aargau, Switzerland"
"Esslingen, Stuttgart, Württemberg"
"Eterbringhausen [?], Frinkenberg [?]"
"Eting, Ahaus, Preußen"
"Etschberg, Kusel, Pfalz, Bayern"
"etten, Tecklenburg, Westfalen"
"Ettersdorf [?], Untermainkreis [?], Bayern"
"Etzdorf [?], Sachsen (province)"
"Etzdorf, Sachsen (kingdom or province)"
"Etzdorf, Sachsen (province) [?]"
"Ewendingen [?], Baden"
"Fahrenbach, Germany"
"Fahrendorf [?], Hannover"
"Fahrendorf, Hannover"
"Fahrenholz [?], Detmold, Lippe"
"Fahrenholz, Lippe"
"Fahrenstedt, Schleswig-Holstein"
"Falkenhagen, Hannover"
"Falle, Hannover"
"Fargau, Schleswig-Holstein"
"Federis, Graubünden, Switzerland"
"Federsheim [?], Hessen"
"Fehmarnsund [?], Schleswig-Holstein"
"Feining [?], Württemberg"
"feld, Württemberg"
"Feldbergen, Hannover"
"Feldheim, Minden, Westfalen"
"Feldmark, Herford, Westfalen"
"Felsberg, Hessen-Nassau"
"Ferkerhaibe [?], Hannover"
"Fetternach [?], Halberstadt, Sachsen"
"Fibringen [?], Baden"
"Fichtenberg, Gaildorf, Württemberg"
"Fideris, Graubünden, Switzerland"
"Finde [?], Hessen"
"Finsterwalde NdLausitz, Brandenburg"
"Fintel, Hannover"
"Firrel, Ostfriesland, Hannover"
"Fischbach, Aargau, Switzerland"
"Fischbek, Schleswig-Holstein"
"Fischerhütte, Germany"
"Flacht, Württemberg"
"Flatow [?], Preußen"
"Flatterbachhausen [?], Oldeburg"
"Flensburg, Schleswig-Holstein"
"Flims, Graubünden, Switzerland"
"Flumenthal, Solothurn, Switzerland"
"Flums, St. Gallen, Switzerland"
"Fluorn, Württemberg"
"Flüte, Hannover"
"Föckinghausen, Hannover"
"Föhren, Rheinprovinz [?]"
"Forenzen [?], Elsaß-Lothringen"
"Forleg [?], Hessen-Nassau"
"Förlingen [?] (district), Hannover"
Fornaustadt [?]
"Forsthaus [?], Lippe"
"Forsthaus, Lippe [?]"
"Fosberg [?], Hannover"
"Fosheim [?], Darmstadt, Hessen"
"Franken, Bayern"
"Franken, Elsaß-Lothringen"
"Frankenberg, Germany"
"Frankenberg, Hessen-Nassau"
"Frankenberg, Sachsen (kingdom)"
"Frankenthal, Pfalz, Bayern"
"Frankf*[?], Germany"
"Frankfurt, Germany"
"Frankfurt, Hessen-Nassau"
"Frankfurt/Main, Hessen-Nassau"
"Fränkisch Crumbach Odenwald, Hessen"
"Frankreich [?], Elsaß-Lothringen"
"Frankreich, Berdeu, Germany"
"Frankreich, Elsaß-Lothringen"
"Frauendorf, Bayern"
"Frebershausen, Waldeck"
"Freiburg (canton), Switzerland"
"Freiburg, Baden"
"Freiburg, Hannover"
"Freiburg, Switzerland"
"Freienwil, Aargau, Switzerland"
"Freilingen, Rheinprovinz"
"Freinheim, Pfalz, Bayern"
"Freinsheim, Bayern"
"Freinsheim, Dirkheim, Pfalz, Bayern"
"Freinsheim, Pfalz, Bayern"
"Freinsheim, Wachenheim, Pfalz, Bayern"
"Freinzheim, Pfalz, Bayern"
"Freistett, Baden"
"Freitingen, Rheinprovinz"
"Freiwaldau, Schlesien"
"Frekesheim [?], Baden"
Fremsbach [?]
"Freudenau, Posen"
"Freudenberg, Preußen"
"Freudenheim, Baden"
"Freudenstadt, Württemberg"
